Cutoff Height (m),,TOTAL - Total number of soundings,TOTAL - Successful inversion count,TOTAL - No inversion count,TOTAL - False positive count,TOTAL - False negative count,TOTAL - Percent Successful (overall),TOTAL - Percent Successful (inversions only),,KUNR - Total number of soundings,KUNR - Successful inversion count,KUNR - No inversion count,KUNR - False positive count,KUNR - False negative count,KUNR - Percent Successful (overall),KUNR - Percent Successful (inversions only),,KRIW - Total number of soundings,KRIW - Successful inversion count,KRIW - No inversion count,KRIW - False positive count,KRIW - False negative count,KRIW - Percent Successful (overall),KRIW - Percent Successful (inversions only),,KGGW - Total number of soundings,KGGW - Successful inversion count,KGGW - No inversion count,KGGW - False positive count,KGGW - False negative count,KGGW - Percent Successful (overall),KGGW - Percent Successful (inversions only),,KDNR - Total number of soundings,KDNR - Successful inversion count,KDNR - No inversion count,KDNR - False positive count,KDNR - False negative count,KDNR - Percent Successful (overall),KDNR - Percent Successful (inversions only),
2700,,16861,7135,4324,897,4505,67.96,61.3,,4312,1619,853,274,1566,57.33,50.83,,4332,1696,1284,262,1090,68.79,60.88,,4327,2267,817,201,1042,71.27,68.51,,3890,1553,1370,160,807,75.14,65.81,
2600,,16861,7122,4407,910,4422,68.38,61.69,,4312,1617,884,275,1536,58.0,51.28,,4332,1700,1292,259,1081,69.07,61.13,,4327,2253,846,215,1013,71.62,68.98,,3890,1552,1385,161,792,75.5,66.21,
2500,,16861,7135,4485,892,4349,68.92,62.13,,4312,1623,907,268,1514,58.67,51.74,,4332,1708,1309,249,1066,69.64,61.57,,4327,2248,870,218,991,72.06,69.4,,3890,1556,1399,157,778,75.96,66.67,
2400,,16861,7143,4567,877,4274,69.45,62.56,,4312,1623,932,267,1490,59.25,52.14,,4332,1719,1324,239,1050,70.24,62.08,,4327,2247,902,214,964,72.78,69.98,,3890,1554,1409,157,770,76.17,66.87,
2300,,16861,7151,4659,865,4186,70.04,63.08,,4312,1613,970,275,1454,59.9,52.59,,4332,1729,1328,232,1043,70.57,62.37,,4327,2258,937,199,933,73.84,70.76,,3890,1551,1424,159,756,76.48,67.23,
2200,,16861,7158,4732,855,4116,70.52,63.49,,4312,1629,984,258,1441,60.6,53.06,,4332,1722,1340,240,1030,70.68,62.57,,4327,2250,973,204,900,74.49,71.43,,3890,1557,1435,153,745,76.92,67.64,
2100,,16861,7139,4817,862,4043,70.91,63.84,,4312,1623,1010,261,1418,61.06,53.37,,4332,1726,1353,235,1018,71.08,62.9,,4327,2245,1006,205,871,75.13,72.05,,3890,1545,1448,161,736,76.94,67.73,
2000,,16861,7128,4905,865,3963,71.37,64.27,,4312,1618,1040,260,1394,61.64,53.72,,4332,1716,1366,247,1003,71.14,63.11,,4327,2250,1040,199,838,76.03,72.86,,3890,1544,1459,159,728,77.2,67.96,
1900,,16861,7145,4987,840,3889,71.95,64.75,,4312,1613,1074,263,1362,62.31,54.22,,4332,1733,1375,228,996,71.75,63.5,,4327,2265,1065,181,816,76.96,73.52,,3890,1534,1473,168,715,77.3,68.21,
1800,,16861,7153,5080,813,3815,72.55,65.22,,4312,1621,1105,247,1339,63.22,54.76,,4332,1731,1388,229,984,72.0,63.76,,4327,2271,1100,173,783,77.91,74.36,,3890,1530,1487,164,709,77.56,68.33,
1700,,16861,7119,5186,821,3735,72.98,65.59,,4312,1617,1142,242,1311,63.98,55.23,,4332,1713,1404,249,966,71.95,63.94,,4327,2267,1127,172,761,78.44,74.87,,3890,1522,1513,158,697,78.02,68.59,
